Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Push Protocol,https://www.crunchbase.com/organization/ethereum-push-notification-service,"Blockchain, Information Technology, Internet, Messaging, Web3","Singapore, Central Region, Singapore",Push Protocol formerly known as EPNS (Ethereum Push Notification Services) is a decentralized communication protocol,"13,842",Active,2020-01-01,year,,,,,For Profit,https://push.org/,"Push (previously EPNS) is a decentralized and blockchain-agnostic communication protocol for the entire web3 world that aims to provide the users to receive notifications for on-chain or off-chain activity. Push allows Web3 actors (users, dapps, service providers) to create notifications that are can be based on any off-chain or on-chain logic that can be triggered via smart contract, backend or dApps. These come from an open communication network (push nodes) and are tied to wallet addresses allowing any crypto wallet, frontend, or infra service to display it to Web3 users.",Early Stage Venture,12170000,USD,12170000
Rainforest Life,https://www.crunchbase.com/organization/rainforest-life,E-Commerce,"Singapore, Central Region, Singapore",Rainforest buys e-commerce brands and grows them with a focus on long-term success.,"14,133",Active,2020-01-01,year,,,,,For Profit,https://www.rainforest.life/,"Rainforest buys e-commerce brands and grows them with a focus on long-term success. They believe that being part of Rainforest improves the brands’ longevity, financial returns, and sustainability outcomes.",Early Stage Venture,101000000,USD,101000000
Blink,https://www.crunchbase.com/organization/blink-c462,"Fleet Management, Internet, Software","Singapore, Central Region, Singapore",Blink is a comprehensive online ordering and fleet management system.,"14,194",Active,2020-01-01,year,,,,,For Profit,https://www.blinkco.io,"Blink is a cloud-based enterprise ordering solution that allows restaurants, supermarkets, and cloud kitchens to launch direct-to-consumer online ordering channels. Its SaaS-based solution, which includes a branded ordering website and mobile app, assists brands in growing their orders via an advanced backend dashboard.",Seed,2250000,USD,2250000
Fando,https://www.crunchbase.com/organization/wtf-media,"Blockchain, Cryptocurrency, eSports, Internet, Media and Entertainment, Social Media, Social Network, Sports","Singapore, Central Region, Singapore","Fando Network is a developer of a tokenization platform for sports, esports creators, and fans.","14,300",Active,2020-01-01,year,,,,,For Profit,https://www.fando.ai,"Fando Network uses a De-Fi solution to monetize creators in sports and eSports through creator tokenization, allowing fans to get rewards and control the creator's actions. Through increased fan involvement and rewards, it provides creators with additive monetization opportunities.",Seed,10000000,USD,10000000
Alethea AI,https://www.crunchbase.com/organization/alethea-ai,"Artificial Intelligence (AI), Machine Learning, Media and Entertainment, Software","Singapore, Central Region, Singapore",Alethea AI is a protocol to create intelligent and interactive NFTs powered by GPT-3. We are originators of the iNFT standard.,"14,407",Active,2020-01-01,year,,,,,For Profit,https://www.alethea.ai,"Alethea AI is a decentralized protocol to create intelligent and interactive NFTs powered by GPT-3. We are originators of the iNFT standard and are on the cutting edge of embedding AI animation, interaction, and generative AI capabilities into NFTs.",Seed,16000000,USD,16000000
Pace,https://www.crunchbase.com/organization/pace-594d,"Apps, FinTech, Payments, Shopping","Singapore, Central Region, Singapore",Pace is an online payment platform that allows users to pay for their purchases in three interest-free installments.,"15,550",Active,2020-01-01,year,,,,,For Profit,https://pacenow.co,Pace is an online payment platform that allows users to shop for more with no interest or hidden fees. Pace lets shoppers take charge of their spending without giving up on the things they need or deserve. Pace allows consumers to split their purchases into three equal interest-free payments over 60 days through an omnichannel experience that helps them spend sustainably.,Early Stage Venture,46000000,USD,46000000
ClayStack,https://www.crunchbase.com/organization/claystack,"Blockchain, Financial Services","Singapore, Central Region, Singapore","ClayStack, blockchain-agnostic staking protocol that unlock the power of digital assets in the form of liquid staking derivative tokens.","16,379",Active,2020-01-01,year,,,,,For Profit,https://www.claystack.com/,ClayStack is the next-generation blockchain-agnostic staking protocol that enables users to unlock the power of staked digital assets in the form of liquid staking derivative tokens.,Seed,5200000,USD,5200000
Uable,https://www.crunchbase.com/organization/uable,"E-Commerce, Social Network","Singapore, Central Region, Singapore","Uable aims to be a singular destination where teens can become self-reliant while networking, exploring, and having fun.","17,244",Active,2020-01-01,year,,,,,For Profit,https://uable.com/,"Uable is the world’s first super-app for teens that enables a revolutionary way for 13-19 year olds to earn, spend and become independent through content and community. It incentivizes them to both create and consume content, make friends and explore their interests — all within multiple micro-communities called Clubs. These Clubs cater to teen interests and include everything from General Hangouts to Gaming, from Fashion to Sports and from Entrepreneurship to Engineering, Motivation to Design etc. Through the ‘U-Coins’ that these teens earn on the app, they can grab products from the U-store, which includes gadgets, books, fashion accessories, apparel & more.  The app aims to be a singular destination where teens can become self-reliant while networking, exploring, and having fun. Uable is one of most exciting teenager-oriented start-ups right now, founded by Saurabh Saxena, ex-co-founder, Vedantu.  Having closed a Pre-Series A with top investors, we're determined to march forward on our purpose to keep building and growing into the ultimate teen companion.   Come join us on our mission to make teenage years amazing!",Seed,4500000,USD,4500000
SunGreenH2,https://www.crunchbase.com/organization/sungreenh2,"Advanced Materials, Clean Energy, CleanTech, Energy, Environmental Engineering, Fuel Cell, GreenTech, Manufacturing, Nanotechnology, Renewable Energy","Singapore, Central Region, Singapore",SunGreenH2 is a deep cleantech company making electrolysers produce 2x green hydrogen using 30x lower precious metals and 10% lower energy.,"17,268",Active,2020-01-01,year,,,,,For Profit,https://www.sungreenh2.com/,"SunGreenH2 uses nanotechnology and advanced materials to create the world's highest performance electrolysers for green hydrogen production at a low cost. The company has developed a modular, scalable electrolyser stack using its proprietary high performance electrolyser hardware components which it designs, develops and manufactures in-house. By opening the door to widespread adoption of green hydrogen in industry, mobility and energy storage, SunGreenH2 is unlocking sustainable, scalable, low cost on-site green hydrogen production globally. Our proprietary platform technology is the result of 10+ years research in electrochemistry and nanotechnology. SunGreenH2 was founded in 2020 and is headquartered in Singapore with offices in Melbourne and London.",Seed,4500000,USD,4500000
Router Protocol,https://www.crunchbase.com/organization/router-protocol,"Blockchain, Ethereum, Information Services","Singapore, Central Region, Singapore",Router Protocol is a blockchain infrastructure project that allows interoperability between two independent blockchains.,"19,269",Active,2020-01-01,year,,,,,For Profit,https://www.routerprotocol.com/,"Router Protocol is developing the bridging infrastructure to allow contract-level data flow across various blockchains, thus enabling asset-level data transfer. The company was founded in 2020 and is headquartered in Singapore, Central Region, Singapore.",Early Stage Venture,4580000,USD,4580000
SalaryBox,https://www.crunchbase.com/organization/salarybox,"Mobile Apps, SaaS","Singapore, Central Region, Singapore",SalaryBox is a mobile application to track salary and attendance for business owners and employees.,"19,327",Active,2020-01-01,year,,,,,For Profit,https://www.salarybox.in/,SalaryBox is a mobile application to track salary and attendance for business owners and employees.,Seed,4125000,USD,4125000
Peakflo,https://www.crunchbase.com/organization/peakflo,"Financial Services, FinTech, Information Services, Information Technology, SaaS, Software","Singapore, Central Region, Singapore",Simplifying business payments for SE Asia,"20,165",Active,2020-01-01,year,,,,,For Profit,https://peakflo.co,"Peakflo is a collections and payables SaaS built for businesses in SE Asia. Using its simple API and one-click accounting software integration, it allows businesses to streamline their entire finance operations. 187 finance team users (from early-stage startups to unicorns) use peakflo each week to: 1. Save 100 hours/month on finance operations 2. Get paid faster on their invoices by 10-20 days 3. Streamline vendor payment process and reduce fees by 50-90%",Seed,5100000,USD,5100000
Affyn,https://www.crunchbase.com/organization/affyn,"Augmented Reality, Blockchain, Cryptocurrency, Gaming, Metaverse","Singapore, Central Region, Singapore",Affyn is a metaverse project that operates a Blockchain-based game startup to create a sustainable gaming economy.,"22,657",Active,2020-01-01,year,,,,,For Profit,https://www.affyn.com,"Affyn is a Blockchain-powered metaverse project developing a free-to-play and play-to-earn mobile game with integrated geolocation and augmented reality capability. Making use of geolocation capability and AR mechanics, it incorporates the fun element of gaming with Blockchain technology such as the utility of NFTs and their official currency and ensures that the rewards stay attractive to both new and existing players. Affyn was founded by Lucaz Lee.",,27000000,USD,27000000
MetaOne,https://www.crunchbase.com/organization/metaone,"Blockchain, Cryptocurrency, Gaming, Metaverse","Singapore, Central Region, Singapore",MetaOne offers guild management solutions for GameFi developers.,"25,168",Active,2020-01-01,year,,,,,For Profit,https://metaone.gg/,"MetaOne provides a certainty NFT assets management platform to the gaming metaverse and streamlines onboarding and NFT processes, enabling a sizable gaming community with comprehensive gaming data analytics from games to gamers level. The platform's unified interface facilitates the transition from traditional gaming to the blockchain. It integrates into game architecture to mine relevant data for guild analytics, provides guild management tools, provides asset management to empower stakeholders in generating revenue, and has designed smart contracts for cross-chain investments to be performed safely and transparently.",Seed,4200000,USD,4200000
RIMM Sustainability,https://www.crunchbase.com/organization/rimm-sustainability,"Information Technology, SaaS, Software","Singapore, Central Region, Singapore",RIMM Sustainability operates as a climate tech startup.,"27,751",Active,2020-01-01,year,,,,,For Profit,https://www.rimm.io,"RIMM Sustainability provides a SaaS platform that enables companies of all sizes to optimise their sustainability management effort. It builds tools for sustainability management, reporting and optimisation.",Seed,3000000,USD,3000000
AFFiNE,https://www.crunchbase.com/organization/affine-2627,"Enterprise Software, Information Technology, Internet, Knowledge Management, Software, Web Design, Web Development","Singapore, Central Region, Singapore","AFFiNE is a next-gen knowledge base that brings planning, sorting and creating all together.","28,682",Active,2020-01-01,year,,,,,For Profit,https://affine.pro,"AFFiNE is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use - a free replacement for Notion & Miro.",Seed,8000000,USD,8000000
Clevai,https://www.crunchbase.com/organization/clevai,"EdTech, Education, Training, Tutoring","Singapore, Central Region, Singapore","Clevai is an AI-enabled after school tutoring platform for K-12 students, delivering quality education to underserved students.","29,715",Active,2020-01-01,year,,,,,For Profit,https://clevai.edu.vn/,"Clevai is an AI-enabled after-school tutoring platform for K-12 students, delivering quality education to underserved students.",Seed,6750000,USD,6750000
Ora,https://www.crunchbase.com/organization/ora-2bf3,"Fitness, Health Care, Personal Health, Wellness","Singapore, Central Region, Singapore",ORA specializes in direct-to-patient healthcare transformation.,"34,909",Active,2020-01-01,year,,,,,For Profit,,ORA specializes in direct-to-patient healthcare transformation. The company was founded in 2020 and is based in Singapore.,Early Stage Venture,11150000,USD,11150000
Vertical Oceans,https://www.crunchbase.com/organization/akualogix,"Agriculture, AgTech, Aquaculture, Farming, Food and Beverage","Singapore, Central Region, Singapore","Vertical Oceans produces the worlds best tasting, most sustainable shrimp in advanced technology aqua towers.","35,717",Active,2020-01-01,year,,,,,For Profit,https://www.verticaloceans.blue,"Vertical Oceans produces same day farm to fork shrimp is vertical aqua towers in major urban markets. Our system uses no chemicals or antibiotics and produces no effluent. Our system includes 83 technologies across bioengineering, hardware engineering and computational engineering. Our technology starts with a biocomputer we call the Intelligent Habitat, or iHAB. It is a self-sustaining, self-cleaning modular production system. Inside the iHAB we have a unique aquatic ecosystem which uses fish and seaweed as part of the biofiltration and creates a more natural environment. The result is a great tasting shrimp with excellent sustainability credentials.",Seed,3500000,USD,3500000
Zuno Carbon,https://www.crunchbase.com/organization/zuno-carbon,"Information Technology, Software","Singapore, Central Region, Singapore","Zuno provides end-to-end carbon management solutions that enables organization to track, report, and reduce their environmental impact.","36,069",Active,2020-01-01,month,,,,,For Profit,https://www.zunocarbon.com,"Zuno provides end-to-end carbon management solutions that help organizations measure, offset, and reduce emissions by integrating across your business value chain to collect activity data. Powering you towards your sustainability goals, one step at a time",Seed,2500000,USD,2500000
Cega Finance,https://www.crunchbase.com/organization/cega-finance,"Blockchain, Cryptocurrency, Financial Services","Singapore, Central Region, Singapore",Cega Finance is the exotic derivatives protocol.,"36,261",Active,2020-01-01,year,,,,,For Profit,https://cega.fi/,Cega Finance is the exotic derivatives protocol.,Seed,9300000,USD,9300000
Neuroglee Therapeutics,https://www.crunchbase.com/organization/neuroglee-therapeutics,"Biotechnology, Life Science","Singapore, Central Region, Singapore",Neuroglee Therapeutics is a digital therapeutic platform created to treat patients in the early stages of the disease.,"36,562",Active,2020-01-01,year,,,,,For Profit,https://neuroglee.com/,Neuroglee Therapeutics is a digital therapeutic platform created to treat patients in the early stages of the disease.,Early Stage Venture,12300000,USD,12300000
Ordinary Folk,https://www.crunchbase.com/organization/ordinary-folk,"Health Care, Information Services","Singapore, Central Region, Singapore","Ordinary Folk builds, launches and scales healthcare ventures in Asia","36,586",Active,2020-01-01,year,,,,,For Profit,https://www.ordinaryfolk.health,"Since the 1930s, the way we commute, socialise and even how we make payments have changed, and yet our fundamental approach to the healthcare system hasn’t.  At Ordinary Folk, we’re reimagining the building blocks of healthcare, through Noah, Zoey and Cyrus. Noah allows men to receive remote diagnosis and treatment across varying areas of care. Through Zoey, women’s sexual wellness and fertility journeys are supported with thoughtful products and services. Cyrus, our modern logistics fleet makes ultra fast deliveries for medication with the help of AI.",Seed,5000000,USD,5000000
Opulous,https://www.crunchbase.com/organization/opulous,"Blockchain, Financial Services, FinTech, Music","Singapore, Central Region, Singapore","Opulous connects parties, allowing anyone to inject capital into the music industry through collateralised loans.","36,740",Active,2020-01-01,year,,,,,For Profit,http://www.opulous.org,Opulous is using future-proof blockchain and smart contract technology to connect artists and investors like never before. These groundbreaking tokens will generate monthly royalty revenue and increase in value as an artist’s career progresses.,Seed,8000000,USD,8000000
Polymerize,https://www.crunchbase.com/organization/polymerize,"Chemical, Computer, Security, Software","Singapore, Central Region, Singapore",Polymerize provides research and technology.,"37,800",Active,2020-01-01,year,,,,,For Profit,http://www.polymerize.io,"Polymerize is bringing materials innovation and digitalization to chemical companies. Polymerize provide a material informatics platform to make product development highly efficient, helping companies save costs and bring materials to the market one-third of the time.",Early Stage Venture,4790000,USD,4790000
Nuevocor,https://www.crunchbase.com/organization/nuevocor,"Biopharma, Biotechnology, Medical, Pharmaceutical","Singapore, Central Region, Singapore",Nuevocor operates as a preclinical-stage biotech company.,"38,997",Active,2020-01-01,year,,,,,For Profit,https://www.nuevocor.com/,Nuevocor is a preclinical-stage biopharmaceutical company focused on developing gene therapy‑based treatments that have the potential to restore cardiac function in diseased hearts.,,35600000,USD,35600000
XDAO,https://www.crunchbase.com/organization/xdao,Blockchain,"Singapore, Central Region, Singapore",XDAO is a Multichain DAO Ecosystem Built for Decentralized Future,"41,476",Active,2020-01-01,year,,,,,For Profit,https://xdao.app,"XDAO is the fastest-growing multichain DAO ecosystem built for decentralized future trusted by 100,000+ users. The safest way to create a DAO and manage crypto funds.",Seed,3165000,USD,3165000
Autofarm,https://www.crunchbase.com/organization/autofarm,"Blockchain, Cryptocurrency","Singapore, Central Region, Singapore",Autofarm is a cross-chain yield aggregator that enables users to get the return on their assets from yield farming pools.,"42,060",Active,2020-01-01,year,,,,,For Profit,https://autofarm.network/,Autofarm is a  cross-chain yield aggregator that enables users to get the return on their assets from yield farming pools by staking in Autofarm vaults.,,5000000,USD,5000000
PlotX,https://www.crunchbase.com/organization/plotx,"Casual Games, Cryptocurrency, Mobile Apps, Online Games","Singapore, Central Region, Singapore",PLOT is a non-refundable functional utility token which will be used as the medium of exchange between participants on the PlotX prediction.,"42,367",Active,2020-01-01,year,,,,,For Profit,https://plotx.io/,PLOT is a non-refundable functional utility token which will be used as the medium of exchange between participants on the PlotX prediction market protocol.,Seed,5000000,USD,5000000
Float Foods,https://www.crunchbase.com/organization/float-foods,"Information Technology, Innovation Management, Plant-Based Foods","Singapore, Central Region, Singapore","Float Foods is a Singaporean plant-based food startup that has developed “OnlyEg,” a plant-based substitute for chicken eggs.","44,213",Active,2020-01-01,year,,,,,For Profit,https://www.floatfoods.com/,"Float Foods is a Singaporean plant-based food startup that has developed “OnlyEg,” a plant-based substitute for chicken eggs. We're dedicated to making the world a better healthier place, creating yummy, nutritious alternatives to animal-based products while leveraging food technology.",Seed,2200000,SGD,1661743
Automata Network,https://www.crunchbase.com/organization/automata-network,"Blockchain, Network Security","Singapore, Central Region, Singapore",Automata Network is a decentralised protocol that provides middleware-like traceless privacy services.,"44,702",Active,2020-01-01,year,,,,,For Profit,https://www.ata.network/,"Automata Network is a decentralized protocol that provides middleware-like traceless privacy services for decentralized applications on multiple platforms, including Ethereum, Polkadot and Binance Smart Chain, to achieve privacy, high assurance and frictionless computation.",,1000000,USD,1000000
InsurAce Protocol,https://www.crunchbase.com/organization/insurace-protocol,"Blockchain, Cryptocurrency, Cyber Security, Information Technology, Insurance","Singapore, Central Region, Singapore","InsurAce Protocol is the leading multi-chain DeFi insurance protocol, our mission is to make crypto a safer place.","44,824",Active,2020-01-01,year,,,,,For Profit,https://www.insurace.io/,"InsurAce is the leading decentralized insurance protocol, providing reliable, robust and secure DeFi insurance services to the DeFi users. InsurAce not only guarantees unbeatable portfolio premiums but also offers sustainable investment returns. We have a unique insurance product, tailored just for your project. From insuring your smart contract against hacks to allowing users to secure their investments against risks. Our community is one of the best in the DeFi space and is a key element to our success. We continue to innovate and improve for them.",Private Equity,4000000,USD,4000000
GRIT,https://www.crunchbase.com/organization/grit-search,"Employment, Human Resources, Recruiting, Software","Singapore, Central Region, Singapore","GRIT specialises in sourcing the highest calibre digital, technology and transformation talent in Asia","45,853",Active,2020-01-01,year,,,,,For Profit,https://gritsearch.com/,"At GRIT, we believe people look for opportunities instead of jobs in this new era of work. We focus on in-demand Digital and Technology roles, where we intelligently match outstanding talents to some of the most groundbreaking companies in the industry. Since launching in 2020 and with offices in three countries — Singapore, Malaysia, and Hong Kong, GRIT has successfully placed hundreds of candidates into their dream jobs in innovative companies from household names to emerging startups. We are disrupting the traditional methods in the word of recruitment by building meaningful relationship between Talent like yourself with groundbreaking & innovative Companies. Typical roles include Engineering, Architect, UX, UI, product, Data through to Monetisation, Digital marketing, Sales, Business Development, Growth, and C-Level roles. We are also trusted by many of the leading eCommerce, Social Media, Crypto, Fintech, Proptech and online marketplaces in the Asia region to identify and onboard their greatest asset — talent. We also run GRIT Community, a place where you can connect with like-minded professionals and explore industry-related articles; GRIT Smarts, where you can access 100,000+ online learning resources; and GRIT Scouts, for you to refer and share opportunities with your network, in addition to being meaningfully rewarded.",Seed,500000,SGD,370247
Tranchess,https://www.crunchbase.com/organization/tranchess,"Asset Management, Risk Management, Trading Platform","Singapore, Central Region, Singapore","Tranchess is a tracking protocol that offers risk-return solutions, asset management, and derivatives trading.","47,640",Active,2020-01-01,year,,,,,For Profit,https://tranchess.com,"Tranchess specializes in tracking protocols that provide varied risk-return solutions. Their services include DEFI, APR, crypto, blockchain, and protocol. They offer an enhanced asset tracker with varied risk-return solutions and tranche funds.",Seed,1500000,USD,1500000
Pilon,https://www.crunchbase.com/organization/pilon-f818,"Consulting, Service Industry","Singapore, Central Region, Singapore",Pilon collaborates with banks and financial institutions in the Southeast Asia region.,"47,678",Active,2020-01-01,year,,,,,For Profit,https://www.pilon.sg,Pilon collaborates with banks and financial institutions in the Southeast Asia region. Pilon works with suppliers to provide them quick access to the money they're due while giving customers more time to settle their debts. From recording approved invoices to automating transactions.,Seed,6880000,SGD,5003291
Gank,https://www.crunchbase.com/organization/gank,"E-Commerce, Gaming, Information Technology, Internet, Online Games, Online Portals","Singapore, Central Region, Singapore","Gank is a content monetization platform that helps content creators and streamers accept donations, create memberships and sell merchandise.","49,077",Active,2020-01-01,year,,,,,For Profit,https://www.ganknow.com,"Gank is a  content monetization platform that helps content creators accept donations, create memberships and sell digital and physical merchandise. We offer the simplest way to earn for content creators and streamers. We believe creators deserve everything they earn. Content creators can set up donations to fund their next project, create exclusive content for their subscribers, set up memberships, sell merch and commissions on our platform. We are headquartered in Singapore and are operating in Asia Pacific.",Seed,2130000,USD,2130000
Social Future,https://www.crunchbase.com/organization/social-future-82dc,"Artificial Intelligence (AI), Metaverse, Private Social Networking","Singapore, Central Region, Singapore",Social Future is an AI-driven social networking metaverse company.,"49,848",Active,2020-01-01,year,,,,,For Profit,https://web3.may.social,Social Future is an AI-driven social networking metaverse company.,,6000000,USD,6000000
NAOS Finance,https://www.crunchbase.com/organization/naos-finance,"Blockchain, Decentralized Finance (DeFi), Finance, Financial Services, FinTech","Singapore, Central Region, Singapore",NAOS Finance is an operator of a decentralized finance platform that aims to give a decentralized alternative to traditional finance.,"50,520",Active,2020-01-01,year,,,,,For Profit,https://naos.finance,"NAOS Finance is an operator of a decentralized finance platform that aims to give a decentralized alternative to traditional finance. Its platform facilitates both Defi lenders and SME borrowers to interact in a permission-less manner on the blockchain and enables the origination and funding of loans without traditional intermediaries, enabling lenders to get stable and recurring income streams while also connecting the on-chain world with bigger off-chain opportunities.",,5100000,USD,5100000
Stemly AI,https://www.crunchbase.com/organization/stemly,"Machine Learning, SaaS","Singapore, Central Region, Singapore","Decision Intelligence Platform for enterprise and SMEs for integrated supply chain, finance and sustainability planning / optimization","51,343",Active,2020-01-01,year,,,,,For Profit,https://www.stemly.ai,"Stemly is a global decisions intelligence provider with state-of-the-art forecasting and optimization solutions for supply chain and finance industries.  The Stemly SaaS platform is powered by automatic machine learning with ability to deliver substantial business and financial impact in terms of lower lost demand, decrease in inventory, lower working capital and financing costs.  Our platform is built with modern technology on top of a robust and secure foundation allowing for integration with various ERP and TMS systems.  We help our customers to make better decisions, faster and together.",Seed,2500000,USD,2500000
Nansen,https://www.crunchbase.com/organization/nansen-1c5a,"Analytics, Blockchain, Cryptocurrency, Software","Singapore, Central Region, Singapore",Nansen is a blockchain analytics platform for crypto professionals and investors.,"51,445",Active,2020-01-01,year,,,,,For Profit,https://nansen.ai,"Nansen is a blockchain analytics platform that enriches on-chain data with millions of wallets labels. Crypto investors use Nansen to discover opportunities, perform due diligence and defend their portfolios with its real-time dashboards and alerts.",Early Stage Venture,88200000,USD,88200000
Doyobi,https://www.crunchbase.com/organization/doyobi,"Children, E-Learning, EdTech, Education","Singapore, Central Region, Singapore",Doyobi is an ed-tech startup providing science and coding courses for kids.,"51,908",Active,2020-01-01,year,,,,,For Profit,https://www.doyobi.com,"Doyobi enables educators to teach science and coding in a fun and interactive way. Its guided courses integrate videos, quizzes, and projects to make teaching easy. Doyobi’s courses are used in programs supported by Google and the Singapore government, as well as by educators from different parts of the world. Doyobi aims to help kids grow into original thinkers and develop a sense of purpose. Its programs are designed to nurture curiosity, creativity, and a growth mindset. Doyobi’s pedagogy is built on helping learners develop attitudes and mindsets they would need to thrive beyond 2030, build coding and science fundamentals aligned to K12 standards, learn to use planning and design thinking to create prototype solutions to the UN Sustainable Development Goals (UN SDGs).",Seed,3800000,USD,3800000
