Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Base.vn,https://www.crunchbase.com/organization/base-vn,"Information Technology, Internet, SaaS","Hanoi, NA - Vietnam, Vietnam",Base.vn mission is to build an open and smart platform where all the best apps for businesses across Asia are located.,"36,988",Active,2016-08-02,day,2021-05-04,day,,,For Profit,https://base.vn/,Base.vn mission is to build an open and smart platform where all the best apps for businesses across Asia are located. We believe that a complete technology foundation will be the most important factor in helping businesses thrive. We are always loyal to our mission and ready to accompany every step of the growth of your business.,M&A,1300000,USD,1300000
CoderSchool,https://www.crunchbase.com/organization/coderschool,"Education, Software Engineering, Web Development","Ho Chi Minh City, NA - Vietnam, Vietnam","CoderSchool offers high quality, fast-paced training for engineers.","42,800",Active,2015-01-01,year,,,,,For Profit,http://www.coderschool.vn/,"Developing Developers! CoderSchool is an education technology startup that provides free, accelerated engineering classes for students and professional developers and designers in Vietnam. Our classes are strict, emotionally engaging, backed by cutting-edge cognitive science, and ultimately highly effective.",Seed,2750000,USD,2750000
TEKY Academy,https://www.crunchbase.com/organization/teky-academy,Education,"Hanoi, NA - Vietnam, Vietnam",Teky is the leader in K12 technology education in Vietnam and also the biggest in South East Asia.,"49,374",Active,2017-01-01,year,,,,,For Profit,http://www.teky.edu.vn/,"Teky builds a system of training institutes and technology programs for children, preparing for the revolution of technology 4.0 and the 21st century. We are the only institute that teaches technology for K12 students, with 8 campuses and thousands of students enrolled, teaching content rich, long-term learning pathway. Our solution is a total solution with ecosystem of Teky Academy chain with STEM Flagship stores, Teky technology club at the school, national and international competitions, Tekid Online School of Technology. We now have 8 campuses, 30 school clubs with 2,000+ active students.",,5000000,USD,5000000
EcoTruck,https://www.crunchbase.com/organization/ecotruck,"Logistics, Supply Chain Management","Ho Chi Minh City, NA - Vietnam, Vietnam",EcoTruck is a B2B logistics company.,"51,702",Active,2017-01-01,year,,,,,For Profit,https://ecotruck.vn/,EcoTruck is a tech startup in logistics. Their platform aims to bring efficiency to a very outdated industry by providing cutting-edge technologies with data to streamline operations and save costs for both merchants and vendors,Early Stage Venture,4000000,USD,4000000
Got It,https://www.crunchbase.com/organization/got-it-5f84,"Advertising, Artificial Intelligence (AI), B2B, Gift, Gift Card, Loyalty Programs","Ho Chi Minh City, NA - Vietnam, Vietnam",Got It is a local B2B digital gifting Platform.,"51,764",Active,2015-01-01,year,,,,,For Profit,https://www.gotit.vn/,Got It also offers loyalty programs and reward vouchers. The company claims its clients consist of over 500 of the largest multinational and national companies across Vietnam.,,6000000,USD,6000000
JAMJA,https://www.crunchbase.com/organization/jamja,"E-Commerce, Lead Generation, Online Portals, Shopping","Hanoi, NA - Vietnam, Vietnam",JAMJA is a promotion boosting platform that help merchant to drive more traffic and sale (online store and brick-and-mortar store),"59,781",Active,2015-03-13,day,,,,,For Profit,https://jamja.vn/,JAMJA is a promotion boosting platform that help merchant to drive more traffic and sale (online store and brick-and-mortar store),Seed,1865216,USD,1865216
Vulcan Augmetics,https://www.crunchbase.com/organization/vulcan-augmetics,"Health Care, Manufacturing, Product Design","Ho Chi Minh City, NA - Vietnam, Vietnam","Affordable, modular robotic prosthetics that can be ordered online and click together as easily as lego","59,981",Active,2017-01-01,year,,,,,For Profit,https://www.wearevulcan.com/,"Vulcan Augmetics is a Vietnam based startup making affordable, modular robotic prosthetics that can be ordered online and click together as easily as lego, with the long term goal of being the worlds largest brand for upgrading the human body. We are all about building people, both mentally and physically, using technology to maximise what people can achieve. We believe that the closer we are to our technology, the more effective we can be, and so our goal is to make body mounted technology as affordable, convenient and accessible as possible.  Prosthetics users are the best starting place and example as they are using body mounted technology already, every single day, and are ideal to help us develop and drive the technology further. If you can build a device to fit over a human-form prosthetic, then it just a matter of time before you can miniaturise and put the same device onto the human body directly.  We are all about building people, both mentally and physically, using technology to maximise what people can achieve.  Our first phase involves building a range of modular, easily upgradeable prosthetics which we will sell both B2B and B2C, with the modularity making our product easier, more cost effective, and practical to maintain than our competitors. We design extra modules and attachments to help our users regain employment, and sell them upgrades and replacements over time.  Longer term we will expand from prosthetics into all types of wearables, from diagnostic and health devices such as Fitbit to AR and VR control systems, all of which can be built over our initial prosthetics technology platform. We will also be expanding our online platform to allow all users to order interoperable products, and late on to connect with designers and local manufacturing facilities which will enable us to also take a role as a royalty generating marketplace.",Seed,220000,USD,220000
Boxme Global,https://www.crunchbase.com/organization/boxme-global,"E-Commerce, Logistics, Supply Chain Management, Warehousing","Hanoi, NA - Vietnam, Vietnam",Premier eCommerce fulfillment in Southeast Asia,"61,323",Active,2016-01-01,year,,,,,For Profit,https://boxme.asia/,"BoxMe is the premier e-Commerce fulfillment network in Southeast Asia, enabling world-wide merchants to sell online into this region without need to establish local presence.",,6400000,USD,6400000
iCheck,https://www.crunchbase.com/organization/icheck,Information Services,"Hanoi, NA - Vietnam, Vietnam",iCheck is a check the origin of the product or conduct a complete purchase. simple.,"66,960",Active,2015-01-01,year,,,,,For Profit,https://icheck.com.vn/,"With your smart mobile phone, anywhere, at any time, with just one move, you can check the origin of the product or conduct a complete purchase. simple.",Private Equity,130000000,JPY,1194167
Tima,https://www.crunchbase.com/organization/tima-2,"Financial Services, FinTech, Mobile Apps","Hanoi, NA - Vietnam, Vietnam",TIMA begin participating financial markets technology from 2015 as a provider of technology lending platform peer (P2P) first in Vietnam.,"68,147",Active,2015-01-01,year,,,,,For Profit,http://tima.vn,"With the initial investment of 150 billion VND, TIMA begin participating financial markets technology from 2015 as a provider of technology lending platform peer (P2P) first in Vietnam. June 2016, TIMA initiated for the mortgage loan services online, providing financial advisory services simply, quickly and reliably to customers across the country.",Early Stage Venture,3000000,USD,3000000
Wellcare,https://www.crunchbase.com/organization/mhealth-technologies,"Employee Benefits, Health Care, Mental Health, mHealth, Wellness","Ho Chi Minh City, NA - Vietnam, Vietnam","Telemedicine, wellness and mental health platform","74,194",Active,2015-05-08,day,,,,,For Profit,https://wellcare.vn/,"Wellcare offers telemedicine, mental health and wellness services to individuals and corporate employees. Now patients, even in rural areas, are able to access to reputable doctors and psychologists by phone and video 24/7.   We solve major pain points in Vietnam healthcare: lack of good doctors especially in remote areas, overcrowding in hospitals, misdiagnosis and inappropriate treatment plans that leading to high healthcare cost burden for families and payers. Wellcare is trusted and recognized for quality doctors, simple and logical workflow, and above all whole-hearted, dedicated services.  Our key revenue drivers are consultation fees shared with doctors and wellness subscriptions. We are in the stage of scaling up operations and magnifying our impacts to wider communities and therefore want to collaborate with strategic investors, business partners and key healthcare stakeholders.",Seed,534186,USD,534186
Leflair,https://www.crunchbase.com/organization/leflair,"Beauty, E-Commerce, Fashion","Ho Chi Minh City, NA - Vietnam, Vietnam","Leflair is a premium online outlet, selling discounted merchandise.","76,392",Closed,2015-12-01,month,2021-06-23,day,,none,For Profit,https://www.leflair.vn/,"Leflair is a premium online outlet, selling discounted merchandise. Leflair was launched in Vietnam in 2015 as the country’s first premium e-commerce website for women, men, kids, and home. They launch limited-time sales every morning with prices up to 70% off retail, making the world’s best brands accessible in Vietnam. The company's quality and authenticity are its core, which is why they only partner directly with brands, conduct the most rigorous quality control and treat every package as a present.",M&A,11750000,USD,11750000
WeFit,https://www.crunchbase.com/organization/wefit-2,"Fitness, Mobile Apps, Wellness","Hanoi, NA - Vietnam, Vietnam","WeFit is a Vietnamese startup, built to offer workout memberships at hundreds of fitness facilities","78,838",Closed,2016-09-05,day,,,2020-01-01,year,For Profit,https://wefit.vn/,"WeFit is founded in 2016, is one of the most potential startups in Vietnam.  WeFit is building a mobile application that allows users to sign up for fitness packages to work out at different gym studios and other fitness facilities, much alike to ClassPass.",Seed,1155000,USD,1155000
VinCommerce,https://www.crunchbase.com/organization/vincommerce,"Consumer, E-Commerce, Retail","Hanoi, NA - Vietnam, Vietnam",VinCommerce is one of the biggest retailers in Vietnam and is a part of Masan Group.,"84,346",Closed,2015-01-01,year,,,,none,For Profit,https://www.vincommerce.com/,VinCommerce is one of the biggest retailers in Vietnam and is a part of Masan Group.,Private Equity,410000000,USD,410000000
"Lixibox, Inc.",https://www.crunchbase.com/organization/lixibox,"Beauty, Consumer Goods, E-Commerce, E-Commerce Platforms","Ho Chi Minh City, NA - Vietnam, Vietnam","a lifestyle e-commerce platform & house of brands, serving the growing Vietnamese middle class with affordable luxury products","86,158",Active,2016-01-01,year,,,,,For Profit,https://www.lixibox.com/,"Lixibox, Inc. offers an e-commerce platform that helps beauty brands and suppliers distribute their products in the South Asian market through social influencers. The platform also sells beauty products which are selected and designed by beauty bloggers and YouTube users. Lixibox, Inc. was founded in 2015 and is based in Ho Chi Minh City, Vietnam.",Seed,500000,USD,500000
Rever.vn,https://www.crunchbase.com/organization/rever-vn,"Information Technology, Real Estate","Ho Chi Minh City, NA - Vietnam, Vietnam","Rever is a technology company operating in the field of Real Estate, officially launched in early 2016.","88,326",Active,2016-01-01,year,,,,,For Profit,https://rever.vn/,"Rever is a technology company operating in the field of Real Estate, officially launched in early 2016. With a team of senior personnel in many fields, Rever develops online real estate distribution system based on the map, providing the perfect brokerage service, creates a smart and high-performance process of buying, selling, renting real estate, based on a combination of modern technology and commodity consultants. head.",Private Equity,16500000,USD,16500000
OkieLa,https://www.crunchbase.com/organization/okiela,"E-Commerce, Logistics, Mobile Apps, Shopping","Ho Chi Minh City, NA - Vietnam, Vietnam",OkieLa is a developer of an online mobile application intended to to connect and learn to help users grow their businesses.,"91,115",Closed,2016-01-01,year,,,,none,For Profit,http://www.okiela.com,"OkieLa is a developer of an online mobile application intended to to connect and learn to help users grow their businesses. The company's application provides shopping and selling on mobile and creates connection between the buyer and seller, enabling users to optimize what to do so they can focus more on their business.",Seed,2350000,USD,2350000
Hello Bacsi,https://www.crunchbase.com/organization/hello-bacsi,"Fitness, Health Care, Wellness","Ho Chi Minh City, NA - Vietnam, Vietnam",Hello Bacsi is the first and only health platform in Vietnam to receive the prestigious HONcode certification.,"91,326",Active,2015-01-01,year,,,,,For Profit,http://hellobacsi.com,"Hello Bacsi is the first and only health platform in Vietnam to receive the prestigious HONcode certification. Hello Bacsi was born with a mission: Inspire to live healthier every day and help you do that. Hello Bacsi aims to bring Vietnam to the forefront of providing useful and accessible health information to the Vietnamese people. Hello Bacsi does not provide advice, diagnosis, or medical treatments. Check with your healthcare professional if you have any questions about your health.",Seed,1500000,USD,1500000
CYFEER JOINT STOCK COMPANY,https://www.crunchbase.com/organization/cyfeer-joint-stock-company,"Hospitality, Information Technology, Property Management, PropTech, Real Estate","Ho Chi Minh City, NA - Vietnam, Vietnam",Proptech - Property management system/Resident community/Resident marketplace,"95,144",Active,2016-09-06,day,,,,,For Profit,https://cyhome.vn,"CyHome is a friendly ecosystem changing the way people living in condo/apartment. Including web-app for manager, mobile app for resident and merchandise platform for service/goods provider, CyHome is bring all you need in just few click for a better living experience.",Seed,360000,USD,360000
Cooky.vn,https://www.crunchbase.com/organization/cooky-vn,"Communities, Food and Beverage","Ho Chi Minh City, NA - Vietnam, Vietnam","Cooky is a place to share and review delicious recipes, homemade products and useful comments.","96,068",Active,2015-01-01,year,,,,,For Profit,https://www.cooky.vn/,"The community loves food, cooking and baking. Join the community to share recipes and cooking tips.",,5000000,USD,5000000
Homedy.com,https://www.crunchbase.com/organization/homedy-com,"Digital Marketing, Internet, Real Estate","Hanoi, NA - Vietnam, Vietnam",Homedy.com is a real estate online media that help people to find and make a better home!,"98,171",Active,2015-08-26,day,,,,,For Profit,http://homedy.com,"Homedy Incorporation (ref: Homedy Inc.) was established in 2015 by co-founders are highly experienced in the field of internet / mobile marketing, along with a team of professional  - passionate editors, leading experts in the field of Real Estate (Real Estate). With the foundation is providing digital marketing solutions for comprehensive real estate market, They aim to be the leading  real estate portal on the Internet / Mobile in Vietnam market & International. Homedy.com creation, They would like to bring to users a perfect experience of finding informations in the field of Real Estate: ""easy searching  - diverse selections - reliable results."" Users coming to Homedy.com will always get the updated, completed, accurate informations about real estate market in local as well as international countries; from details about the types of real estate, the market situations, trend purchases, prices ... Because they commit to always do its best to maintain its role as an effective bridge and reliable choice of not only real estate businesses but also the users - the customers - the most premium in all fields. Slogan ""More choice, more life ... """,,250000,USD,250000
OnOnPay,https://www.crunchbase.com/organization/ononpay-vietnam,"Apps, Mobile Apps, Telecommunications","Hanoi, NA - Vietnam, Vietnam",OnOnPay is mobile commerce platform for reload of mobile credits with loyalty programmes,"104,659",Active,2015-01-01,year,,,,,For Profit,https://ononpay.com/,"Founded in 2015, OnOnPay is a mobile topup service for prepaid SIMs of carrier network providers in Vietnam.",,800000,USD,800000
KidsOnline,https://www.crunchbase.com/organization/kidsonline,"Internet, Mobile, Parenting, SaaS, Software","Hanoi, NA - Vietnam, Vietnam","The most popular SaaS kindergarten management system w/ mobile app iOS and Android, a great tool for 2-way school-parent communication.","105,643",Active,2016-07-25,day,,,,,For Profit,http://kidsonline.edu.vn,"KidsOnline is the most popular cloud-based kindergarten management system in Vietnam. It is a rich-content mobile app for parents and teachers that meets all needs for school operation management, reporting and is also a great tool for 2-way school-parent communication.",Seed,350000,USD,350000
Bave Technology,https://www.crunchbase.com/organization/bave-technology,"Automotive, Information Services","Hanoi, NA - Vietnam, Vietnam",Bave Technology operates as a car ecosystem platform.,"105,893",Active,2017-01-01,year,,,,,For Profit,https://bave.io/,Bave Technology operates as a car ecosystem platform. Bave’s platform connects drivers with merchants selling car equipment and parts as well as with businesses providing car financing and vehicle servicing.,Seed,1000000,USD,1000000
VIETMONEY JOINT STOCK CORPORATION,https://www.crunchbase.com/organization/vietmoney-jsc,"Financial Services, FinTech, Personal Finance","Ho Chi Minh City, NA - Vietnam, Vietnam",The online pawning platform and convenient finance channel for suprime segment in Viet Nam,"106,203",Active,2016-09-18,day,,,,,For Profit,https://www.vietmoney.vn,"While accessing to bank loan also obtain many procedural obstacles and take difficult for the majority of Vietnamese consumers. Traditional pawn services or unregulated lending activities contain significant risks and inconveniences. Viet Money established to provide quick and convenient financing solutions in online trading environment to unbanked market. Now, getting a loan is never easier than before because you just only access to the internet to leave demand for us, cash will be served right at home for you immediately. www.vietmoney.vn – The leader of online pawning service in Viet Nam Established since Early 2016. Now we became leader of online pawning service in Viet Nam, more than 35 outlets located at 6 Cities/ provinces, now serving > 50,000 customers - Vision: Become top 3 leading enterprises in Vietnam operating in consumer finance field. - Mission: Provide secured financial debt to unbanked customers, change the people’s perception about pawn service. - Objective: Build Viet Money network in most of provinces and cities nationwide and become a popular financial channel in Vietnam.",Early Stage Venture,6600000,USD,6600000
Canavi,https://www.crunchbase.com/organization/canavi,Mobile Apps,"Hanoi, NA - Vietnam, Vietnam","Canavi is ""Women Job Matching Platform"" focusing on the hospitality, retail, F&B fields in Southest Asia.","112,574",Closed,2015-10-20,day,,,,none,For Profit,http://canavi.com/,"Canavi is a tech startup which focus on the women career platform focus on the hospitality, retail, F&B fields in Southest Asia.",Seed,672000,USD,672000
JOOLUX,https://www.crunchbase.com/organization/joolux,"E-Commerce, Fashion, Sustainability","Ho Chi Minh City, NA - Vietnam, Vietnam","JOOLUX – JOURNEY OF LUXURY is an online marketplace for authenticated, pre-owned luxury goods","116,357",Active,2016-01-15,day,,,,,For Profit,https://joolux.com,"JOOLUX – JOURNEY OF LUXURY An online marketplace for authenticated, pre-owned luxury goods. We offer an extensive range of coveted designer brands across multiple categories including bags, watches, shoes & sneaker and accessories. We make luxury lifestyle affordable by unlocking wardrobes from consignors via an end-to-end service and sell to buyers. Our core trust is built based on the authentication strength using AI technology combined with experts.  To extend the longer Journey of Luxury goods, we are contributing to a more sustainable world",Seed,1250000,USD,1250000
EMDDI,https://www.crunchbase.com/organization/emddi,"Ride Sharing, Taxi Service","Tân An, NA - Vietnam, Vietnam",EMDDI local ride-hailing management platform.,"118,047",Active,2016-01-01,year,,,,,For Profit,https://emddi.com,EMDDI local ride-hailing management platform.,,2000000,USD,2000000
LiveSpo Global,https://www.crunchbase.com/organization/livespo-global,"Manufacturing, Pharmaceutical","Hanoi, NA - Vietnam, Vietnam",LiveSpo is a manufacturer of spore-based probiotics for health and nutrition.,"120,216",Active,2017-01-01,year,,,,,For Profit,https://livespoglobal.com/en/home/,"LiveSpo is engaged in the research and development, manufacturing, and distribution of spore probiotics that promote intestinal and respiratory health. This technology allows them to create high-concentration, transportable, time-durable, heat-resistant, and acid-resistant multi-spore mixtures, distinguishing their products from other probiotics on the market.",Private Equity,8800000,USD,8800000
Vietnam Blockchain Corporation,https://www.crunchbase.com/organization/vietnam-blockchain-corporation,"AgTech, Blockchain, Software, Supply Chain Management","Ho Chi Minh City, NA - Vietnam, Vietnam",Powering Vietnam as blockchain country,"122,470",Active,2016-10-17,day,,,,,For Profit,https://vietnamblockchain.asia/,"VBC is an IT & Blockchain company and we are mainly providing traceability and supply chain management service for agriculture and manufacturing fields by taking advantage of blockchain which is the distributed ledger technology and impossible to be tempered. Besides, we’ve also developed blockchain apps of loyalty points management, digital identification, online voting and so on, since online payment and various public procedures will be expanded in Vietnam in the days ahead.",Early Stage Venture,500000,USD,500000
RED2 Digital,https://www.crunchbase.com/organization/red2-digital,"Advertising, Digital Marketing, SEO","Ho Chi Minh City, NA - Vietnam, Vietnam",RED2 Digital is a digital marketing and advertising company.,"127,263",Active,2016-01-01,day,,,,,For Profit,https://www.red2digital.com/,"RED2 Digital is a digital agency that specialise in digital strategy, social, search, content, analytics, and e-commerce. It offers digital strategy, search engine optimization, search engine marketing, creative marketing, content marketing, digital training, and analytics.",Seed,600000,USD,600000
Inspitrip,https://www.crunchbase.com/organization/inspitrip,"Leisure, Tourism, Travel","Ho Chi Minh City, NA - Vietnam, Vietnam","Inspitrip connects you to private Local Insiders for private, personalized, and off the beaten path experience.","131,194",Active,2015-09-10,day,,,,,For Profit,https://inspitrip.com/,"Inspitrip connects you to private Local Insiders for private, personalized, and off the beaten path experience. For those who want to explore their destination through the eyes of those who live there.",Seed,179564,USD,179564
FoodMap,https://www.crunchbase.com/organization/foodmap,"Agriculture, Food Processing","Thanh Hóa, NA - Vietnam, Vietnam",FoodMap is a startup with the goal of connecting customers with ethical farmers and food suppliers directly.,"135,636",Active,2017-01-01,year,,,,,For Profit,https://foodmap.asia/,FoodMap is a startup with the goal of connecting customers with ethical farmers and food suppliers directly.,Seed,4500000,USD,4500000
TOP MOT,https://www.crunchbase.com/organization/top-mot,"E-Commerce, Flash Sale, Sales","Ho Chi Minh City, NA - Vietnam, Vietnam",TOP MOT is Vietnam's first flash sales platform,"140,146",Active,2015-05-01,day,,,,,For Profit,https://www.topmot.vn/,"TOP MOT is Vietnam's first flash-sales platform. We act as an invaluable clearance channel to over 400 brands, helping them sell excess and/or past seasons' inventories and convert them to cash. We launch new campaigns at 10am every day, and they only last for 5 days. Our target customer is a woman 25-40 years old, looking for branded goods at a great value.",Seed,1000000,USD,1000000
gachvang.com,https://www.crunchbase.com/organization/gachvang-com,"E-Commerce, Internet, Property Management, Real Estate, Real Estate Investment","Ho Chi Minh City, NA - Vietnam, Vietnam",gachvang is an online property website based in Vietnam that provides its users with database listings of homes for sale and rent.,"152,547",Active,2015-07-01,day,,,,,For Profit,http://gachvang.com,"gachvang.com is the new face of online property in Vietnam. gachvang.com is dedicated to helping consumers make better property decisions by providing them with relevant data, knowledge and market insights before they buy, sell or rent a property. gachvang.com believes in making property simple for everyone. Starting with its easy to use website and mobile platform, gachvang.com has an extensive database of listings – including homes for sale, homes for rent, newest property developments and the latest property launches in Vietnam.  The DinhZaDi® is gachvang.com’s instant home value estimation tool, a first in Vietnam - covering all 63 provinces nationwide, providing consumers with what they really need – concise, clear and data rich information to make the most informed property decision possible. Founded in 2015, gachvang.com is headquartered in Ho Chi Minh City. gachvang.com – Making Property Simple.",Seed,500000,USD,500000
DAISEI VEHO WORKS,https://www.crunchbase.com/organization/daisei-veho-works,"Consulting, Events, Marketing","Hanoi, NA - Vietnam, Vietnam",DAISEI VEHO WORKS is a Press Release distribution service company.,"152,943",Active,2017-01-01,year,,,,,For Profit,https://www.vehoworks.com/,"DAISEI VEHO WORKS is a market approach through press releases to all companies and individuals who are challenging in Southeast Asia.It is the Press Release distribution service in 6 South East Asian countries, dominates in Press Release contribution to Media about Japanese companies’ activities.",,9000000,JPY,83185
Soya Garden,https://www.crunchbase.com/organization/soya-garden,"Food and Beverage, Food Processing, Organic Food","Hanoi, NA - Vietnam, Vietnam",Soya Garden is a consumer services company that offers different soya products.,"157,814",Active,2015-01-01,year,,,,,For Profit,https://www.soyagarden.com/,"Soya Garden is a consumer services company that offers different soya products. The company specializes in the fields of food processing, food, beverage, and organic foods. Soya Garden was founded in 2015 and headquartered in Hanoi, NA - Vietnam.",,24880000,USD,24880000
ZaloPay,https://www.crunchbase.com/organization/zalopay,"Mobile Apps, Payments","Ho Chi Minh City, NA - Vietnam, Vietnam","ZaloPay delivers mobile payment solutions that enable users to shop online, pay bills, make donations, and transfer money with ease.","160,165",Active,2017-01-01,year,,,,,For Profit,https://zalopay.vn,,,,,
Congnhadat.net,https://www.crunchbase.com/organization/congnhadat-net,"Property Development, Real Estate","Ho Chi Minh City, NA - Vietnam, Vietnam",Congnhadat.net is a real estate platform.,"161,042",Active,2016-01-01,year,,,,,For Profit,http://www.congnhadat.net/,"Congnhadat.net special model designed to bring the most convenience for customers to save valuable time funds of customers to increase transaction efficiency.With a technology platform today the latest information, our mission is to assist yyou in the search for and make choices ""settled place."" More than 99,000 real estate Ad and is updated continuously by the investors, exchanges and users throughout the provinces and cities nationwide will help you quickly find the property that suits you.",Early Stage Venture,2000000,USD,2000000
